ID,Ranking,JP,EN,JP Furigana,Pronounciation,Sentence JP,Sentence EN,Sentence Romaji,Sentence pronounciation,Explanation,Image
JPN1K-24,24,見る,"to see, to look, to watch, to view, to observe",見[み]る,みる,映画[えいが] を 見る。,I watch movies.,Eiga o miru.,映画を見る。,Casual plain form. を marks the thing you look at. It can mean habit or a near-future plan from context.,<img src='JPN1K-24.jpeg'>
JPN1K-25,25,来る,"to come, to approach, to arrive",来[く]る,くる,彼[かれ]は 明日[あした]来るよ。,He will come tomorrow.,Kare wa ashita kuru yo.,彼は明日来るよ。,"来る is the plain form, used in casual speech. It can express a planned or expected future action.",<img src='JPN1K-25.jpeg'>
JPN1K-26,26,お前,you,お 前[まえ],お まえ,お前はだれだ。,Who are you?,Omae wa dare da.,お前はだれだ。,Very casual and can sound rude. Use only with close friends or in rough speech.,<img src='JPN1K-26.jpeg'>
JPN1K-27,27,さん,Mr. Miss.,さん,さん,Tanakaさんはここにいますか。,Is Mr./Ms. Tanaka here?,Tanaka-san wa koko ni imasu ka.,Tanakaさんはここにいますか。,さん is a polite title added after names. Do not use it for yourself.,<img src='JPN1K-27.jpeg'>
JPN1K-28,28,思う,"to think, to consider, to believe",思[おも]う,おもう,私[わたし]はそう 思[おも]う。,I think so.,Watashi wa so omou.,私はそう思う。,Casual/plain. Use it to state your opinion.,<img src='JPN1K-28.jpeg'>
JPN1K-29,29,もう,"now, soon, shortly, before long, presently",もう,もう,もういいですか。,Is it okay now?,Mou ii desu ka.,もういいですか。,もう often means already. Here it politely asks if something is finished or okay to proceed.,<img src='JPN1K-29.jpeg'>
JPN1K-30,30,その,that (followed by noun that is close to the listener),その,その,その 本[ほん]をください。,Please give me that book.,Sono hon o kudasai.,その本をください。,Polite request for an item near the listener. その points to something close to them.,<img src='JPN1K-30.jpeg'>
JPN1K-31,31,できる,"to be able (in a position) to do, to be up to the task",できる,できる,私[わたし]はできるよ。,I can do it.,Watashi wa dekiru yo.,私はできるよ。,"できる states ability or being up to the task. よ adds a confident, friendly tone.",<img src='JPN1K-31.jpeg'>
JPN1K-32,32,あなた,you (referring to someone of equal or lower status),あなた,あなた,あなたはコーヒーをのみますか。,Do you drink coffee?,Anata wa koohii o nomimasu ka.,あなたはコーヒーをのみますか。,Polite question. In daily talk people often drop あなた and just say コーヒー、のみますか.,<img src='JPN1K-32.jpeg'>
JPN1K-33,33,僕,I,僕[ぼく],ぼく,僕[ぼく]はもう 行[い]くね。,I’m heading out now.,Boku wa mou iku ne.,僕はもう行くね。,"僕 is a casual, typically male way to say “I.” The sentence is casual because of ね and the plain verb form.",<img src='JPN1K-33.jpeg'>
JPN1K-34,34,ここ,"here (place physically close to the speaker), this place",ここ,ここ,ここでいいですか。,Is here okay?,Koko de ii desu ka.,ここでいいですか。,Polite question asking if this spot/place is acceptable.,<img src='JPN1K-34.jpeg'>
JPN1K-35,35,彼,"he, him",彼[かれ],かれ,彼[かれ]はどこですか。,Where is he?,Kare wa doko desu ka.,彼はどこですか。,Polite question. は marks the topic.,<img src='JPN1K-35.jpeg'>
JPN1K-36,36,まで,"until (a time), till, to, up to",まで,まで,ここは 五時[ごじ]までです。,We are open until five.,Koko wa goji made desu.,ここは五時までです。,まで marks the limit in time or space. Here it shows the closing time.,<img src='JPN1K-36.jpeg'>
JPN1K-37,37,今,"now, the present time, just now, soon, immediately,",今[いま],いま,今[いま]どこにいますか。,Where are you now?,Ima doko ni imasu ka.,今どこにいますか。,Used to ask someone’s current location. Polite -masu form.,<img src='JPN1K-37.jpeg'>
JPN1K-38,38,知る,"to be aware of, to know, to be conscious of",知[し]る,しる,いつ 知[し]る の ですか。,When will you know?,Itsu shiru no desu ka.,いつ知るのですか。,"In conversation, 知る often means to find out or come to know. For the state of knowing, people say 知っている.",<img src='JPN1K-38.jpeg'>
JPN1K-39,39,時,"time, hour, moment",時[とき],とき,今[いま]はいい 時[とき]です。,Now is a good time.,Ima wa ii toki desu.,今はいい時です。,"時 means a moment or time. Polite, simple way to say it’s a good moment to do something.",<img src='JPN1K-39.jpeg'>
JPN1K-40,40,誰,who,誰[だれ],だれ,これは 誰[だれ]ですか。,Who is this?,Kore wa dare desu ka.,これは誰ですか。,Polite way to ask a person's identity. Common in everyday conversation.,<img src='JPN1K-40.jpeg'>
JPN1K-41,41,え,"picture, drawing, painting, sketch",え,え,これはえです。,This is a picture.,Kore wa e desu.,これはえです。,"",<img src='JPN1K-41.jpeg'>
JPN1K-42,42,あの,that (followed by noun that is distant from both speaker and listener),あの,あの,あの 人[ひと]はだれですか。,Who is that person?,Ano hito wa dare desu ka.,あの人はだれですか。,Use ano before a noun to point to something or someone far from both people. Polite question form.,<img src='JPN1K-42.jpeg'>
JPN1K-43,43,聞く,to hear,聞[き]く,きく,今[いま]ここで聞くの。,You’re asking here now?,Ima koko de kiku no.,今ここで聞くの。,"Casual question with sentence-ending の. 聞く can mean listen or ask, depending on context.",<img src='JPN1K-43.jpeg'>
JPN1K-44,44,はい,yes,はい,はい,はい、これをください。,"Yes, this please.","Hai, kore o kudasai.",はい、これをください。,Hai is a polite yes. Kudasai is a common polite way to request something.,<img src='JPN1K-44.jpeg'>
JPN1K-45,45,出る,"to leave, to exit, to go out, to come out, to get out",出[で]る,でる,今[いま]から 出[で]るよ。,I'm leaving now.,Ima kara deru yo.,今から出るよ。,Casual. 出る means to leave or go out. よ adds friendly emphasis.,<img src='JPN1K-45.jpeg'>
JPN1K-46,46,話,"talk, speech, chat, story, conversation",話[はなし],はなし,その 話[はなし]を 聞[き]きたいです。,I want to hear that story.,Sono hanashi o kikitai desu.,その話を聞きたいです。,たい after a verb stem shows desire politely. 話 is a story or what someone talks about.,<img src='JPN1K-46.jpeg'>
JPN1K-47,47,年,year,年[とし],とし,私[わたし]の 年[とし]は 三十[さんじゅう]です。,My age is thirty.,Watashi no toshi wa sanjuu desu.,私の年は三十です。,"年 (とし) can mean age. In everyday talk, people often use 歳, but とし is also common.",<img src='JPN1K-47.jpeg'>
JPN1K-48,48,待つ,to wait,待[ま]つ,まつ,ここで 待[ま]つね。,"I'll wait here, okay.",Koko de matsu ne.,ここで待つね。,Casual plain form meaning the speaker will wait. ね softens the tone.,<img src='JPN1K-48.jpeg'>
JPN1K-49,49,前,"ago, before (some event), previously",前[まえ],まえ,前はここでした。,"Before, it was here.",Mae wa koko deshita.,前はここでした。,前は sets “before/previously” as the topic. Use it to talk about how something was earlier.,<img src='JPN1K-49.jpeg'>
JPN1K-50,50,どこ,"where, what place",どこ,どこ,ホテルはどこですか。,Where is the hotel?,Hoteru wa doko desu ka.,ホテルはどこですか。,Polite question. は marks the topic; どこ means “where.”,<img src='JPN1K-50.jpeg'>
JPN1K-51,51,気,"spirit, mind, heart",気[き],き,それが 気[き]になる。,I'm curious about that.,Sore ga ki ni naru.,それが気になる。,気になる is a common casual phrase meaning you keep thinking about something (curious or slightly worried).,<img src='JPN1K-51.jpeg'>
JPN1K-52,52,音,"sound, noise, report",音[おと],おと,この 音[おと]はどうですか。,How is this sound?,Kono oto wa dou desu ka.,この音はどうですか。,Polite どうですか asks for an opinion or condition. 音 is the sound or noise you hear.,<img src='JPN1K-52.jpeg'>
JPN1K-53,53,なぜ,"why, how",なぜ,なぜ,なぜここにいるの？,Why are you here?,Naze koko ni iru no?,なぜここにいるの？,Casual question. The final の makes it softer and sounds like you’re asking for an explanation.,<img src='JPN1K-53.jpeg'>
JPN1K-54,54,彼女,"she, her",彼女[かのじょ],かのじょ,彼女は 映画[えいが]を 見[み]ます。,She watches movies.,Kanojo wa eiga o mimasu.,彼女は映画を見ます。,"彼女 can mean she/her and also girlfriend, depending on context. This is the polite ます form.",<img src='JPN1K-54.jpeg'>
JPN1K-55,55,中,"inside, in",中[なか],なか,中[なか]にいます。,I'm inside.,Naka ni imasu.,中にいます。,に marks the place. います is used for people or animals.,<img src='JPN1K-55.jpeg'>
JPN1K-56,56,うん,"yes, yeah, uh huh",うん,うん,うん、 今[いま]行[い]くよ。,"Yeah, I'm going now.","Un, ima iku yo.",うん、今行くよ。,"うん is a casual 'yeah.' Use it with friends or family, not in formal situations.",<img src='JPN1K-56.jpeg'>
JPN1K-57,57,そんな,"like that, that sort of",そんな,そんな,そんなのはありません。,We don't have that kind of thing.,Sonna no wa arimasen.,そんなのはありません。,そんな refers to something like that (near the listener or just mentioned). ありません is the polite 'there isn't/We don't have.',<img src='JPN1K-57.jpeg'>
JPN1K-58,58,違う,"to differ (from), to vary",違[ちが]う,ちがう,それは違うよ。,That's different.,Sore wa chigau yo.,それは違うよ。,Casual disagreement. Often used to say something is not correct or not the same.,<img src='JPN1K-58.jpeg'>
JPN1K-59,59,大丈夫,"safe, all right, OK, okay",大丈夫[だいじょうぶ],だいじょうぶ,ここは大丈夫ですか。,Is it okay here?,Koko wa daijobu desu ka.,ここは大丈夫ですか。,Common polite way to ask if a place or situation is OK/safe. Use desu/ka for politeness.,<img src='JPN1K-59.jpeg'>
JPN1K-60,60,自分,"myself, yourself, oneself, himself, herself",自分[じぶん],じぶん,自分[じぶん]でやるよ。,I'll do it myself.,Jibun de yaru yo.,自分でやるよ。,自分 means oneself. 自分で means by oneself; casual and common.,<img src='JPN1K-60.jpeg'>
JPN1K-61,61,なんて,"how ..!, what ..!",なんて,なんて,なんていい 映画[えいが]だ。,What a good movie!,Nante ii eiga da.,なんていい映画だ。,Put なんて before an adjective or noun to show strong feeling. This is casual.,<img src='JPN1K-61.jpeg'>
JPN1K-62,62,男,"man, male",男[おとこ],おとこ,あの男はだれですか。,Who is that man?,Ano otoko wa dare desu ka.,あの男はだれですか。,Polite question pattern: X wa dare desu ka? 男 is the general word for a man.,<img src='JPN1K-62.jpeg'>
JPN1K-63,63,よい,"good, excellent, fine, nice, pleasant, agreeable",よい,よい,ここでよいですか。,Is here okay?,Koko de yoi desu ka.,ここでよいですか。,Polite question. よい is a slightly more formal/standard form of いい.,<img src='JPN1K-63.jpeg'>
JPN1K-64,64,まだ,"as yet, hitherto, only, still",まだ,まだ,彼[かれ]はまだいる。,He is still here.,Kare wa mada iru.,彼はまだいる。,まだ with iru/aru means “still.” This is casual.,<img src='JPN1K-64.jpeg'>
JPN1K-65,65,ありがとう,thank you,ありがとう,ありがとう,ありがとう、でも いい です。,"Thanks, but I'm fine.","Arigatou, demo ii desu.",ありがとう、でもいいです。,Casual ありがとう is common. でも いいです politely declines an offer.,<img src='JPN1K-65.jpeg'>
JPN1K-66,66,ちょっと,"just a minute, short time, just a little",ちょっと,ちょっと,ちょっと ここで 待[ま]って ください。,Please wait here a moment.,Chotto koko de matte kudasai.,ちょっとここで待ってください。,ちょっと softens the request and means “a moment” or “a little.” Polite request with ください.,<img src='JPN1K-66.jpeg'>
JPN1K-67,67,また,"again, and, also",また,また,また 明日[あした]電話[でんわ]しますね。,"I’ll call again tomorrow, okay?",Mata ashita denwa shimasu ne.,また明日電話しますね。,また often means “again.” Adding ね makes it friendly and soft.,<img src='JPN1K-67.jpeg'>
JPN1K-68,68,みんな,"everyone, everybody",みんな,みんな,みんなでそこへ 行[い]きませんか。,Shall we all go there together?,Minna de soko e ikimasen ka.,みんなでそこへ行きませんか。,"みんなで means doing something with everyone, together. Using 〜ませんか is a polite invitation.",<img src='JPN1K-68.jpeg'>
JPN1K-69,69,いや,"disagreeable, detestable, unpleasant, reluctant",いや,いや,それはいやです。,I don't like that.,Sore wa iya desu.,それはいやです。,いや shows dislike or refusal. いやです is a polite way to say something is unpleasant for you.,<img src='JPN1K-69.jpeg'>
JPN1K-70,70,かも,"may, might, perhaps, may be, possibly",かも,かも,私[わたし]は 行[い]く かも。,I might go.,Watashi wa iku kamo.,私は行くかも。,Casual. かも softens statements and means “maybe.” Often shortened from かもしれない in speech.,<img src='JPN1K-70.jpeg'>
JPN1K-71,71,悪い,"bad, poor, inferior",悪[わる]い,わるい,悪い、また 電話[でんわ] する。,"Sorry, I'll call again.","Warui, mata denwa suru.",悪い、また電話する。,"In casual speech, 悪い can work like “sorry” when you inconvenience someone or decline. Use with friends; for polite situations, use sumimasen.",<img src='JPN1K-71.jpeg'>
JPN1K-72,72,いう,"to say, to utter, to declare",いう,いう,それは 何[なん]という 映画[えいが]ですか。,What is that movie called?,Sore wa nan to iu eiga desu ka.,それは何という映画ですか。,何という X means “what is X called?” という marks the name being said. Polite.,<img src='JPN1K-72.jpeg'>
JPN1K-73,73,死ぬ,"to die, to pass away",死[し]ぬ,しぬ,人[ひと]はみんな死ぬよ。,Everyone dies.,Hito wa minna shinu yo.,人はみんな死ぬよ。,This is the plain casual form. 死ぬ is a strong word; use carefully in conversation.,<img src='JPN1K-73.jpeg'>
JPN1K-74,74,みたい,"-like, sort of, similar to, resembling",みたい,みたい,彼[かれ]は 来[く]るみたい。,Looks like he’s coming.,Kare wa kuru mitai.,彼は来るみたい。,Casual. みたい after a plain verb means it seems/looks like based on what you know.,<img src='JPN1K-74.jpeg'>
JPN1K-75,75,日,"day, days",日[ひ],ひ,きょうはいい 日[ひ]です。,Today is a good day.,Kyou wa ii hi desu.,きょうはいい日です。,日 is read hi when used alone and means a day. This is a polite sentence.,<img src='JPN1K-75.jpeg'>
JPN1K-76,76,家,"house, residence, dwelling",家[いえ],いえ,私[わたし]の 家[いえ]はここです。,My house is here.,Watashi no ie wa koko desu.,私の家はここです。,Polite sentence using X wa Y desu to point something out. 家 is read ie.,<img src='JPN1K-76.jpeg'>
JPN1K-77,77,時間,time,時間[じかん],じかん,今[いま]、 時間[じかん]はありますか。,Do you have time now?,"Ima, jikan wa arimasu ka.",今、時間はありますか。,Polite way to ask if someone is free right now.,<img src='JPN1K-77.jpeg'>
JPN1K-78,78,早い,"fast, quick, hasty, brisk",早[はや]い,はやい,彼[かれ] は 早い ね。,"He's quick, isn't he?",Kare wa hayai ne.,彼は早いね。,Casual comment with ne. 早い is an i-adjective meaning quick/fast; it can also mean 'early' about time.,<img src='JPN1K-78.jpeg'>
JPN1K-79,79,手,"hand, arm",手[て],て,私[わたし] は 手[て] を 見[み]ます。,I look at my hand.,Watashi wa te o mimasu.,私は手を見ます。,を marks the direct object. ます makes it polite.,<img src='JPN1K-79.jpeg'>
JPN1K-80,80,えっ,huh?,えっ,えっ,えっ、 何[なに]ですか。,Huh? What is it?,"E, nani desu ka.",えっ、何ですか。,えっ shows surprise or that you didn’t hear. Very common and casual; adding ですか keeps it polite.,<img src='JPN1K-80.jpeg'>
JPN1K-81,81,もの,"thing, object, article, stuff",もの,もの,それは 私[わたし]のものです。,That’s mine.,Sore wa watashi no mono desu.,それは私のものです。,Xのもの means “X’s thing/mine.” Polite with です.,<img src='JPN1K-81.jpeg'>
JPN1K-82,82,すごい,"amazing, great (e.g. of skills), wonderful, terrific, terrible, dreadful",すごい,すごい,それはすごいです。,That’s amazing.,Sore wa sugoi desu.,それはすごいです。,Polite praise. それは points to the thing; です makes it polite.,<img src='JPN1K-82.jpeg'>
JPN1K-83,83,話す,"to talk, to speak, to converse, to chat",話[はな]す,はなす,英語[えいご]で話すのが 好[す]きです。,I like speaking in English.,Eigo de hanasu no ga suki desu.,英語で話すのが好きです。,X のが 好きです means “I like doing X.” 話す is the plain form; the sentence stays polite with desu.,<img src='JPN1K-83.jpeg'>
JPN1K-84,84,ダメ,"no good, not serving its purpose, useless, broken",ダメ,ダメ,それはダメです。,That's not allowed.,Sore wa dame desu.,それはダメです。,ダメ is casual for “no good/not allowed.” Adding です makes it polite.,<img src='JPN1K-84.jpeg'>
JPN1K-85,85,くださる,"to kindly do for one, to oblige, to favour",くださる,くださる,彼[かれ]がこれをしてくださる。,He will do this for me.,Kare ga kore o shite kudasaru.,彼がこれをしてくださる。,くださる is a respectful way to say someone does something for you. Used about the other person’s kind action toward the speaker.,<img src='JPN1K-85.jpeg'>
JPN1K-86,86,殺す,to kill,殺[ころ]す,ころす,人[ひと]を殺すのはダメです。,Killing people is not okay.,Hito o korosu no wa dame desu.,人を殺すのはダメです。,のは turns a verb into a noun phrase. ダメです politely means 'not allowed' or 'not okay'.,<img src='JPN1K-86.jpeg'>
JPN1K-87,87,戻る,"to turn back, to return, to go back, to recover, to rebound",戻[もど]る,もどる,もううちに 戻[もど]る。,I'm going back home now.,Mou uchi ni modoru.,もううちに戻る。,Casual statement. 戻る is an intransitive verb used for going back/returning to a place.,<img src='JPN1K-87.jpeg'>
JPN1K-88,88,なんだ,what!,なんだ,なんだ,なんだ、まだ 大丈夫[だいじょうぶ]だ。,"Oh, we’re still okay.","Nanda, mada daijobu da.",なんだ、まだ大丈夫だ。,Casual exclamation of surprise or relief. Often said when something is easier or safer than expected.,<img src='JPN1K-88.jpeg'>
JPN1K-89,89,持つ,"to hold (in one's hand), to take, to carry",持[も]つ,もつ,これ、 私[わたし]が持つよ。,I'll hold this.,"Kore, watashi ga motsu yo.",これ、私が持つよ。,Casual speech. Using the plain form here sounds like an offer: 'I'll hold it.',<img src='JPN1K-89.jpeg'>
JPN1K-90,90,帰る,"to return, to come home, to go home, to go back",帰[かえ]る,かえる,私[わたし]は 今[いま]、 家[いえ]に帰る。,I'm going home now.,"Watashi wa ima, ie ni kaeru.",私は今、家に帰る。,帰る is a casual plain verb often used when saying you’re going back home or returning somewhere.,<img src='JPN1K-90.jpeg'>
JPN1K-91,91,だから,"so, therefore",だから,だから,もう 時間[じかん]だから、 帰[かえ]ります。,"It’s already time, so I’m going home.","Mou jikan dakara, kaerimasu.",もう時間だから、帰ります。,"だから links a reason to a result. X だから, Y = ‘Because X, Y’ or ‘So, Y’ in casual-neutral speech.",<img src='JPN1K-91.jpeg'>
JPN1K-92,92,こんな,"such (about something or someone close to the speaker (including the speaker), or about ideas expressed by the speaker), like this",こんな,こんな,こんな 映画[えいが]は 見[み]ません。,I don't watch movies like this.,Konna eiga wa mimasen.,こんな映画は見ません。,こんな + noun means 'this kind of ...' about something close to you or your idea.,<img src='JPN1K-92.jpeg'>
JPN1K-93,93,今日,"today, this day",今日[きょう],きょう,今日[きょう]どこに 行[い]きますか。,Where are you going today?,Kyou doko ni ikimasu ka.,今日どこに行きますか。,Polite way to ask about someone's plan for today. 〜masu ka makes it a question.,<img src='JPN1K-93.jpeg'>
JPN1K-94,94,目,"eye, eyeball",目[め],め,彼[かれ]は 目[め]がいい。,He has good eyesight.,Kare wa me ga ii.,彼は目がいい。,目がいい means someone has good eyesight. Casual-neutral expression.,<img src='JPN1K-94.jpeg'>
JPN1K-95,95,入る,"to get in, to go in, to come in, to flow into, to set, to set in",入[はい]る,はいる,ここに 入[はい]るのですか。,Are we going in here?,Koko ni hairu no desu ka.,ここに入るのですか。,Polite question using no desu ka. Sounds neutral and a bit formal.,<img src='JPN1K-95.jpeg'>
JPN1K-96,96,仕事,"work, job, business, occupation, employment, vocation, task",仕事[しごと],しごと,今日[きょう]は 仕事[しごと]ですか。,Do you have work today?,Kyou wa shigoto desu ka.,今日は仕事ですか。,"Polite question. 今日は marks 'today' as the topic, so it means 'As for today, is it work?'",<img src='JPN1K-96.jpeg'>
JPN1K-97,97,よく,"frequently, often, nicely, properly, well, skillfully",よく,よく,私[わたし]は よく 映画[えいが]を 見[み]ます。,I often watch movies.,Watashi wa yoku eiga o mimasu.,私はよく映画を見ます。,よく before a verb means often/frequently. This is a polite sentence.,<img src='JPN1K-97.jpeg'>
JPN1K-98,98,好き,"liking, fondness, love",好[す]き,すき,コーヒーは好きですか。,Do you like coffee?,Koohii wa suki desu ka.,コーヒーは好きですか。,X は/が 好きです means you like X. This is polite.,<img src='JPN1K-98.jpeg'>
JPN1K-99,99,必要,"necessary, needed, essential, indispensable",必要[ひつよう],ひつよう,これはあなたに必要ですか。,Is this necessary for you?,Kore wa anata ni hitsuyou desu ka.,これはあなたに必要ですか。,必要 works like a na-adjective with です. A common pattern is: X は 必要ですか.,<img src='JPN1K-99.jpeg'>
JPN1K-100,100,ちゃん,suffix for familiar person,ちゃん,ちゃん,僕[ぼく]ちゃんはもうねむい。,I'm already sleepy.,Boku-chan wa mou nemui.,僕ちゃんはもうねむい。,ちゃん is a cute suffix used for children or people you feel close to. 僕ちゃん sounds childish or playful; it's casual.,<img src='JPN1K-100.jpeg'>
JPN1K-101,101,考える,"to think about, to take into consideration",考[かんが]える,かんがえる,それを 考[かんが]える よ。,I'll think about it.,Sore o kangaeru yo.,それを考えるよ。,Casual plain form. を marks what you think about; よ adds light emphasis.,<img src='JPN1K-101.jpeg'>
JPN1K-102,102,会う,"to meet, to encounter, to see",会[あ]う,あう,あしたまたここで会うよ。,We’ll meet here again tomorrow.,Ashita mata koko de au yo.,あしたまたここで会うよ。,"会う is the plain form meaning to meet. よ makes it a friendly, casual statement.",<img src='JPN1K-102.jpeg'>
JPN1K-103,103,女,"female, woman",女[おんな],おんな,その 女 は 誰[だれ] ですか。,Who is that woman?,Sono onna wa dare desu ka.,その女は誰ですか。,女 is casual and can sound blunt in conversation. Use carefully depending on context.,<img src='JPN1K-103.jpeg'>
JPN1K-104,104,じゃあ,"then, well, so, well then",じゃあ,じゃあ,じゃあ、またあしたね。,"Well then, see you tomorrow.","Jaa, mata ashita ne.",じゃあ、またあしたね。,"Casual. じゃあ smoothly moves to the next action or closes a chat, like “well then.”",<img src='JPN1K-104.jpeg'>
JPN1K-105,105,食べる,to eat,食[た]べる,たべる,今[いま]これを 食[た]べる？,Will you eat this now?,Ima kore o taberu?,今これを食べる？,Casual question. を marks the object.,<img src='JPN1K-105.jpeg'>
JPN1K-106,106,同じ,"same, identical, equal, uniform, equivalent, similar, common (origin), changeless, alike",同[おな]じ,おなじ,それ、 同[おな]じですか。,Is that the same?,"Sore, onaji desu ka.",それ、同じですか。,Polite way to ask if two things are the same.,<img src='JPN1K-106.jpeg'>
